ASV,stat,pvalue,OA
bASV8975,0.296,0.001,High
bASV8852,0.356,0.001,High
bASV861,0.487,0.001,High
bASV7977,0.312,0.001,High
bASV7705,0.464,0.001,High
bASV7560,0.273,0.001,High
bASV7176,0.258,0.001,High
bASV7111,0.205,0.001,High
bASV668,0.208,0.001,High
bASV6535,0.219,0.001,High
bASV64489,0.446,0.001,High
bASV64418,0.393,0.001,High
bASV64345,0.232,0.001,High
bASV64330,0.537,0.001,High
bASV64130,0.307,0.001,High
bASV63597,0.275,0.001,High
bASV63192,0.472,0.001,High
bASV62363,0.343,0.001,High
bASV61792,0.351,0.001,High
bASV61256,0.258,0.001,High
bASV6079,0.199,0.001,High
bASV60666,0.237,0.001,High
bASV60665,0.212,0.001,High
bASV59673,0.347,0.001,High
bASV59490,0.297,0.001,High
bASV59407,0.53,0.001,High
bASV59075,0.289,0.001,High
bASV57962,0.353,0.001,High
bASV57616,0.295,0.001,High
bASV57209,0.502,0.001,High
bASV56818,0.32,0.001,High
bASV568,0.389,0.001,High
bASV56333,0.313,0.001,High
bASV55548,0.212,0.001,High
bASV5554,0.196,0.001,High
bASV54629,0.428,0.001,High
bASV5449,0.279,0.001,High
bASV54460,0.443,0.001,High
bASV54102,0.299,0.001,High
bASV53975,0.227,0.001,High
bASV53843,0.198,0.001,High
bASV53794,0.188,0.001,High
bASV5372,0.426,0.001,High
bASV53318,0.342,0.001,High
bASV53134,0.289,0.001,High
bASV53062,0.426,0.001,High
bASV52950,0.213,0.001,High
bASV52905,0.253,0.001,High
bASV52298,0.209,0.001,High
bASV5199,0.441,0.001,High
bASV51827,0.247,0.001,High
bASV51551,0.495,0.001,High
bASV51344,0.226,0.001,High
bASV5107,0.222,0.001,High
bASV50572,0.474,0.001,High
bASV5042,0.407,0.001,High
bASV49874,0.412,0.001,High
bASV4835,0.214,0.001,High
bASV46630,0.317,0.001,High
bASV46386,0.274,0.001,High
bASV4599,0.254,0.001,High
bASV45968,0.295,0.001,High
bASV45849,0.363,0.001,High
bASV4542,0.225,0.001,High
bASV44906,0.454,0.001,High
bASV44663,0.402,0.001,High
bASV43964,0.184,0.001,High
bASV43422,0.224,0.001,High
bASV41330,0.227,0.001,High
bASV39984,0.254,0.001,High
bASV39737,0.426,0.001,High
bASV3970,0.235,0.001,High
bASV38662,0.17,0.001,High
bASV38618,0.581,0.001,High
bASV38183,0.279,0.001,High
bASV38043,0.283,0.001,High
bASV37687,0.331,0.001,High
bASV36864,0.238,0.001,High
bASV36590,0.201,0.001,High
bASV36253,0.343,0.001,High
bASV36177,0.508,0.001,High
bASV36054,0.271,0.001,High
bASV35455,0.393,0.001,High
bASV34960,0.239,0.001,High
bASV34644,0.336,0.001,High
bASV34469,0.603,0.001,High
bASV34464,0.242,0.001,High
bASV33394,0.519,0.001,High
bASV32865,0.342,0.001,High
bASV32308,0.296,0.001,High
bASV31852,0.342,0.001,High
bASV29765,0.298,0.001,High
bASV2905,0.231,0.001,High
bASV28929,0.241,0.001,High
bASV28382,0.305,0.001,High
bASV28302,0.353,0.001,High
bASV2782,0.563,0.001,High
bASV27010,0.192,0.001,High
bASV26915,0.359,0.001,High
bASV26649,0.203,0.001,High
bASV25500,0.593,0.001,High
bASV2543,0.361,0.001,High
bASV24566,0.19,0.001,High
bASV2438,0.24,0.001,High
bASV24327,0.429,0.001,High
bASV23115,0.463,0.001,High
bASV226,0.454,0.001,High
bASV22426,0.353,0.001,High
bASV20871,0.217,0.001,High
bASV20352,0.384,0.001,High
bASV20149,0.285,0.001,High
bASV20058,0.337,0.001,High
bASV19985,0.538,0.001,High
bASV19895,0.209,0.001,High
bASV19774,0.209,0.001,High
bASV19343,0.34,0.001,High
bASV19063,0.207,0.001,High
bASV1863,0.389,0.001,High
bASV18527,0.218,0.001,High
bASV18466,0.242,0.001,High
bASV17683,0.218,0.001,High
bASV17378,0.292,0.001,High
bASV17183,0.236,0.001,High
bASV16816,0.224,0.001,High
bASV16332,0.404,0.001,High
bASV16174,0.441,0.001,High
bASV16090,0.202,0.001,High
bASV15828,0.314,0.001,High
bASV15709,0.267,0.001,High
bASV15554,0.268,0.001,High
bASV15407,0.548,0.001,High
bASV14960,0.206,0.001,High
bASV14844,0.49,0.001,High
bASV14749,0.272,0.001,High
bASV14688,0.26,0.001,High
bASV146,0.224,0.001,High
bASV13884,0.387,0.001,High
bASV13864,0.244,0.001,High
