ASV,stat,pvalue,adjust p-value,OA
bASV9988,0.198834487,0.001,0.054091153,Low
bASV9948,0.129166737,0.016,0.521512116,Low
bASV9900,0.12223076,0.024,0.702792453,Low
bASV9869,0.303351278,0.001,0.054091153,Low
bASV9838,0.276381937,0.001,0.054091153,Low
bASV9837,0.187317162,0.001,0.054091153,Low
bASV9580,0.154524257,0.001,0.054091153,Low
bASV9532,0.112158585,0.017,0.543568938,Low
bASV952,0.14383899,0.002,0.094280374,Low
bASV9460,0.149750271,0.017,0.543568938,Low
bASV9456,0.129559442,0.039,0.860356685,Low
bASV94,0.112133769,0.022,0.657588148,Low
bASV9189,0.130300089,0.004,0.162056225,Low
bASV918,0.120324743,0.035,0.860356685,Low
bASV8990,0.147087101,0.006,0.225011152,Low
bASV8959,0.179992338,0.001,0.054091153,Low
bASV8886,0.121491348,0.022,0.657588148,Low
bASV8853,0.148923583,0.005,0.193627639,Low
bASV8664,0.131117494,0.017,0.543568938,Low
bASV8657,0.266594157,0.001,0.054091153,Low
bASV8556,0.204001632,0.001,0.054091153,Low
bASV8490,0.271665089,0.001,0.054091153,Low
bASV8443,0.107211253,0.049,0.860356685,Low
bASV8317,0.095551297,0.03,0.846545455,Low
bASV8268,0.312237267,0.001,0.054091153,Low
bASV8209,0.132626415,0.018,0.56745,Low
bASV8062,0.105462533,0.025,0.721602289,Low
bASV7880,0.108647984,0.05,0.860356685,Low
bASV7873,0.292306669,0.001,0.054091153,Low
bASV7841,0.141199118,0.003,0.130730022,Low
bASV7828,0.152004707,0.003,0.130730022,Low
bASV7671,0.199188638,0.001,0.054091153,Low
bASV7607,0.137786369,0.028,0.796795487,Low
bASV7562,0.147354986,0.015,0.492097561,Low
bASV7300,0.541816143,0.001,0.054091153,Low
bASV711,0.144868748,0.004,0.162056225,Low
bASV7027,0.120114163,0.025,0.721602289,Low
bASV6930,0.189023913,0.001,0.054091153,Low
bASV691,0.328734948,0.001,0.054091153,Low
bASV6850,0.186141212,0.001,0.054091153,Low
bASV6733,0.270637126,0.001,0.054091153,Low
bASV658,0.185527779,0.002,0.094280374,Low
bASV6522,0.371724281,0.001,0.054091153,Low
bASV65032,0.2085784,0.001,0.054091153,Low
bASV6494,0.123057924,0.031,0.860356685,Low
bASV64923,0.153174386,0.003,0.130730022,Low
bASV64839,0.155072701,0.003,0.130730022,Low
bASV64590,0.127922247,0.017,0.543568938,Low
bASV64589,0.123445793,0.021,0.640024169,Low
bASV64397,0.185378995,0.001,0.054091153,Low
bASV64386,0.152653804,0.01,0.350886957,Low
bASV6434,0.282514407,0.001,0.054091153,Low
bASV64210,0.161400248,0.006,0.225011152,Low
bASV6420,0.232121714,0.001,0.054091153,Low
bASV64042,0.23829192,0.001,0.054091153,Low
bASV6402,0.133086624,0.014,0.466112211,Low
bASV63661,0.23010793,0.001,0.054091153,Low
bASV63601,0.127579153,0.047,0.860356685,Low
bASV63478,0.124292119,0.022,0.657588148,Low
bASV63196,0.124602812,0.017,0.543568938,Low
bASV63191,0.116737572,0.05,0.860356685,Low
bASV63182,0.408229394,0.001,0.054091153,Low
bASV63161,0.148463682,0.013,0.437146667,Low
bASV63151,0.284880639,0.001,0.054091153,Low
bASV62952,0.151137817,0.008,0.288228571,Low
bASV62775,0.178352442,0.003,0.130730022,Low
bASV62684,0.154958789,0.004,0.162056225,Low
bASV62614,0.339987196,0.001,0.054091153,Low
bASV62569,0.184112939,0.002,0.094280374,Low
bASV625,0.12253686,0.008,0.288228571,Low
bASV62483,0.189570375,0.001,0.054091153,Low
bASV62445,0.185240183,0.001,0.054091153,Low
bASV62090,0.119610039,0.049,0.860356685,Low
bASV61991,0.326718115,0.001,0.054091153,Low
bASV61821,0.114125379,0.049,0.860356685,Low
bASV61793,0.154119637,0.002,0.094280374,Low
bASV61780,0.15249857,0.005,0.193627639,Low
bASV61677,0.135306599,0.025,0.721602289,Low
bASV61468,0.120927267,0.044,0.860356685,Low
bASV61423,0.121201077,0.032,0.860356685,Low
bASV61392,0.150930786,0.002,0.094280374,Low
bASV61349,0.183338264,0.001,0.054091153,Low
bASV61342,0.180905846,0.001,0.054091153,Low
bASV6126,0.110656667,0.045,0.860356685,Low
bASV61166,0.15291168,0.012,0.406910924,Low
bASV61147,0.210192034,0.001,0.054091153,Low
bASV60920,0.135954371,0.022,0.657588148,Low
bASV60586,0.112419978,0.045,0.860356685,Low
bASV60539,0.151519437,0.007,0.256319419,Low
bASV6045,0.185590091,0.002,0.094280374,Low
bASV60447,0.19253466,0.001,0.054091153,Low
bASV60301,0.125075546,0.013,0.437146667,Low
bASV60146,0.168624541,0.002,0.094280374,Low
bASV6012,0.134544998,0.022,0.657588148,Low
bASV60049,0.153750452,0.007,0.256319419,Low
bASV59982,0.114707867,0.015,0.492097561,Low
bASV59814,0.236160436,0.001,0.054091153,Low
bASV59779,0.196173894,0.001,0.054091153,Low
bASV59677,0.128982275,0.016,0.521512116,Low
bASV59639,0.222990437,0.001,0.054091153,Low
bASV59621,0.103834826,0.046,0.860356685,Low
bASV59440,0.278534757,0.001,0.054091153,Low
bASV59289,0.160350382,0.003,0.130730022,Low
bASV59276,0.166469832,0.002,0.094280374,Low
bASV59031,0.163243682,0.006,0.225011152,Low
bASV5901,0.212235905,0.001,0.054091153,Low
bASV58795,0.265793129,0.001,0.054091153,Low
bASV58715,0.314588741,0.001,0.054091153,Low
bASV58460,0.362267999,0.001,0.054091153,Low
bASV58388,0.157116542,0.004,0.162056225,Low
bASV58320,0.100503782,0.016,0.521512116,Low
bASV57969,0.121491348,0.043,0.860356685,Low
bASV57703,0.161459465,0.001,0.054091153,Low
bASV57664,0.111468465,0.046,0.860356685,Low
bASV57651,0.339018786,0.001,0.054091153,Low
bASV57573,0.189463188,0.001,0.054091153,Low
bASV57491,0.388700978,0.001,0.054091153,Low
bASV57456,0.10911913,0.044,0.860356685,Low
bASV57336,0.375211153,0.001,0.054091153,Low
bASV57278,0.12711737,0.034,0.860356685,Low
bASV57179,0.087162288,0.034,0.860356685,Low
bASV57133,0.165632045,0.003,0.130730022,Low
bASV57080,0.119009728,0.028,0.796795487,Low
bASV57023,0.165399418,0.007,0.256319419,Low
bASV56771,0.145491512,0.017,0.543568938,Low
bASV5656,0.201824017,0.001,0.054091153,Low
bASV5638,0.141131678,0.007,0.256319419,Low
bASV56354,0.218314153,0.001,0.054091153,Low
bASV56188,0.144824003,0.006,0.225011152,Low
bASV56149,0.116247639,0.048,0.860356685,Low
bASV56116,0.140231834,0.023,0.67547016,Low
bASV56004,0.548826615,0.001,0.054091153,Low
bASV55860,0.105667871,0.05,0.860356685,Low
bASV55754,0.100503782,0.05,0.860356685,Low
bASV55450,0.15078532,0.002,0.094280374,Low
bASV55414,0.15931442,0.002,0.094280374,Low
bASV55335,0.377173467,0.001,0.054091153,Low
bASV55128,0.258193883,0.001,0.054091153,Low
bASV55020,0.175971003,0.001,0.054091153,Low
bASV54990,0.225436062,0.001,0.054091153,Low
bASV54823,0.198287002,0.003,0.130730022,Low
bASV54751,0.144714921,0.002,0.094280374,Low
bASV54672,0.122118825,0.004,0.162056225,Low
bASV54663,0.270881801,0.001,0.054091153,Low
bASV54660,0.175329159,0.004,0.162056225,Low
bASV5450,0.210429187,0.001,0.054091153,Low
bASV54335,0.138593483,0.022,0.657588148,Low
bASV54271,0.12340351,0.02,0.618895706,Low
bASV54055,0.200293151,0.001,0.054091153,Low
bASV54001,0.12054101,0.048,0.860356685,Low
bASV53899,0.156546774,0.002,0.094280374,Low
bASV53828,0.238153976,0.001,0.054091153,Low
bASV53814,0.174077656,0.004,0.162056225,Low
bASV53790,0.179717081,0.001,0.054091153,Low
bASV53206,0.123669223,0.021,0.640024169,Low
bASV53192,0.147343128,0.009,0.318568421,Low
bASV53165,0.221005235,0.001,0.054091153,Low
bASV53133,0.119009728,0.041,0.860356685,Low
bASV53079,0.12340351,0.009,0.318568421,Low
bASV52955,0.109760188,0.025,0.721602289,Low
bASV52774,0.181804856,0.001,0.054091153,Low
bASV52762,0.299819565,0.001,0.054091153,Low
bASV52753,0.184449302,0.002,0.094280374,Low
bASV5270,0.11272389,0.034,0.860356685,Low
bASV52382,0.205678574,0.001,0.054091153,Low
bASV52349,0.109834637,0.027,0.771603399,Low
bASV52347,0.249787548,0.001,0.054091153,Low
bASV52320,0.141032439,0.015,0.492097561,Low
bASV52312,0.140748372,0.019,0.591580247,Low
bASV52202,0.132911172,0.032,0.860356685,Low
bASV52151,0.226427715,0.001,0.054091153,Low
bASV51850,0.140231834,0.007,0.256319419,Low
bASV51842,0.126099406,0.011,0.378085179,Low
bASV51665,0.161276967,0.003,0.130730022,Low
bASV51640,0.40757827,0.001,0.054091153,Low
bASV51620,0.327633075,0.001,0.054091153,Low
bASV51514,0.189563438,0.003,0.130730022,Low
bASV51513,0.129349573,0.005,0.193627639,Low
bASV5090,0.403898708,0.001,0.054091153,Low
bASV50896,0.104621108,0.049,0.860356685,Low
bASV50435,0.40553997,0.001,0.054091153,Low
bASV50426,0.114125379,0.04,0.860356685,Low
bASV50317,0.12340351,0.021,0.640024169,Low
bASV50241,0.161191813,0.006,0.225011152,Low
bASV50126,0.174423666,0.001,0.054091153,Low
bASV49903,0.299769972,0.001,0.054091153,Low
bASV49769,0.275282911,0.001,0.054091153,Low
bASV49727,0.143041261,0.019,0.591580247,Low
bASV49524,0.389780139,0.001,0.054091153,Low
bASV49480,0.235035528,0.001,0.054091153,Low
bASV49339,0.124394083,0.019,0.591580247,Low
bASV49323,0.120197612,0.031,0.860356685,Low
bASV49132,0.116247639,0.05,0.860356685,Low
bASV49082,0.283484669,0.001,0.054091153,Low
bASV4897,0.138593483,0.023,0.67547016,Low
bASV48646,0.147087101,0.008,0.288228571,Low
bASV48611,0.169534026,0.003,0.130730022,Low
bASV48434,0.182109221,0.001,0.054091153,Low
bASV48128,0.215215077,0.001,0.054091153,Low
bASV4784,0.167185609,0.002,0.094280374,Low
bASV47636,0.119158646,0.034,0.860356685,Low
bASV47397,0.350113059,0.001,0.054091153,Low
bASV47332,0.14584153,0.005,0.193627639,Low
bASV47158,0.374893313,0.001,0.054091153,Low
bASV46867,0.437044274,0.001,0.054091153,Low
bASV46792,0.128431509,0.005,0.193627639,Low
bASV46499,0.201056722,0.001,0.054091153,Low
bASV46497,0.170497225,0.002,0.094280374,Low
bASV46353,0.130652462,0.047,0.860356685,Low
bASV46306,0.12340351,0.032,0.860356685,Low
bASV46293,0.287126319,0.001,0.054091153,Low
bASV4625,0.230940108,0.001,0.054091153,Low
bASV4620,0.211795896,0.001,0.054091153,Low
bASV46181,0.151716521,0.01,0.350886957,Low
bASV46176,0.169303024,0.001,0.054091153,Low
bASV46066,0.223120276,0.001,0.054091153,Low
bASV45972,0.249804223,0.001,0.054091153,Low
bASV45906,0.15526176,0.009,0.318568421,Low
bASV45879,0.124155167,0.006,0.225011152,Low
bASV45654,0.140231834,0.011,0.378085179,Low
bASV4555,0.148817027,0.009,0.318568421,Low
bASV45524,0.141965726,0.008,0.288228571,Low
bASV45475,0.31592053,0.001,0.054091153,Low
bASV45412,0.179302431,0.001,0.054091153,Low
bASV45410,0.132671625,0.025,0.721602289,Low
bASV45399,0.289906557,0.001,0.054091153,Low
bASV45268,0.143327967,0.001,0.054091153,Low
bASV45069,0.155887144,0.015,0.492097561,Low
bASV45052,0.277081802,0.001,0.054091153,Low
bASV44924,0.129662539,0.011,0.378085179,Low
bASV44572,0.124273764,0.014,0.466112211,Low
bASV44458,0.14160894,0.017,0.543568938,Low
bASV44319,0.372229312,0.001,0.054091153,Low
bASV44126,0.114294283,0.042,0.860356685,Low
bASV44121,0.111468465,0.046,0.860356685,Low
bASV44115,0.276366414,0.001,0.054091153,Low
bASV44046,0.284160726,0.001,0.054091153,Low
bASV43971,0.125176207,0.02,0.618895706,Low
bASV43883,0.257739583,0.001,0.054091153,Low
bASV43596,0.193336145,0.001,0.054091153,Low
bASV43443,0.101187489,0.021,0.640024169,Low
bASV43295,0.219424905,0.001,0.054091153,Low
bASV43230,0.181629622,0.001,0.054091153,Low
bASV43211,0.163775355,0.001,0.054091153,Low
bASV42890,0.149982957,0.007,0.256319419,Low
bASV42878,0.122520951,0.03,0.846545455,Low
bASV42763,0.398998984,0.001,0.054091153,Low
bASV42712,0.152392122,0.005,0.193627639,Low
bASV42698,0.166580999,0.002,0.094280374,Low
bASV42533,0.119459411,0.004,0.162056225,Low
bASV42483,0.141580619,0.021,0.640024169,Low
bASV42445,0.240700676,0.001,0.054091153,Low
bASV42404,0.13287844,0.022,0.657588148,Low
bASV41976,0.135218215,0.003,0.130730022,Low
bASV41931,0.190449985,0.001,0.054091153,Low
bASV41887,0.11728132,0.037,0.860356685,Low
bASV4184,0.179944735,0.004,0.162056225,Low
bASV41784,0.157116542,0.005,0.193627639,Low
bASV41562,0.132926007,0.034,0.860356685,Low
bASV41541,0.167284217,0.001,0.054091153,Low
bASV41044,0.120114339,0.013,0.437146667,Low
bASV40993,0.125527925,0.022,0.657588148,Low
bASV40944,0.126729271,0.011,0.378085179,Low
bASV40921,0.243816396,0.001,0.054091153,Low
bASV40872,0.174887622,0.008,0.288228571,Low
bASV40853,0.109643217,0.018,0.56745,Low
bASV40503,0.143103898,0.022,0.657588148,Low
bASV40499,0.109992094,0.017,0.543568938,Low
bASV40348,0.283258635,0.001,0.054091153,Low
bASV40299,0.286233667,0.001,0.054091153,Low
bASV402,0.263345527,0.001,0.054091153,Low
bASV40135,0.166310744,0.003,0.130730022,Low
bASV39908,0.121705206,0.045,0.860356685,Low
bASV39860,0.108394406,0.039,0.860356685,Low
bASV39721,0.136619135,0.005,0.193627639,Low
bASV39699,0.142427806,0.001,0.054091153,Low
bASV39694,0.564004871,0.001,0.054091153,Low
bASV39643,0.238918665,0.001,0.054091153,Low
bASV39460,0.214711185,0.001,0.054091153,Low
bASV39342,0.228953333,0.001,0.054091153,Low
bASV39169,0.209590848,0.001,0.054091153,Low
bASV39070,0.280559284,0.001,0.054091153,Low
bASV38839,0.345914339,0.001,0.054091153,Low
bASV38721,0.214201453,0.001,0.054091153,Low
bASV38494,0.296694222,0.001,0.054091153,Low
bASV3834,0.260132641,0.001,0.054091153,Low
bASV38275,0.150075282,0.002,0.094280374,Low
bASV3819,0.403391524,0.001,0.054091153,Low
bASV37909,0.140161205,0.025,0.721602289,Low
bASV37881,0.154520226,0.005,0.193627639,Low
bASV37879,0.191537539,0.001,0.054091153,Low
bASV37827,0.146904379,0.002,0.094280374,Low
bASV37786,0.154540255,0.009,0.318568421,Low
bASV37663,0.435203421,0.001,0.054091153,Low
bASV3765,0.355667177,0.001,0.054091153,Low
bASV37452,0.175633674,0.006,0.225011152,Low
bASV37371,0.175864076,0.004,0.162056225,Low
bASV37232,0.193861986,0.002,0.094280374,Low
bASV36927,0.183206145,0.003,0.130730022,Low
bASV36860,0.118587303,0.022,0.657588148,Low
bASV36684,0.318048776,0.001,0.054091153,Low
bASV3647,0.137715009,0.034,0.860356685,Low
bASV36425,0.260576226,0.001,0.054091153,Low
bASV36368,0.131510091,0.041,0.860356685,Low
bASV3636,0.265625925,0.001,0.054091153,Low
bASV36306,0.111809174,0.046,0.860356685,Low
bASV36268,0.200529188,0.001,0.054091153,Low
bASV36088,0.122609432,0.044,0.860356685,Low
bASV35863,0.103834826,0.047,0.860356685,Low
bASV35815,0.133176958,0.017,0.543568938,Low
bASV35759,0.294971907,0.001,0.054091153,Low
bASV35725,0.128077535,0.045,0.860356685,Low
bASV35656,0.431973672,0.001,0.054091153,Low
bASV35563,0.210860851,0.001,0.054091153,Low
bASV3555,0.153937268,0.002,0.094280374,Low
bASV35545,0.116247639,0.046,0.860356685,Low
bASV35542,0.152837939,0.006,0.225011152,Low
bASV35467,0.109471555,0.027,0.771603399,Low
bASV35440,0.100503782,0.043,0.860356685,Low
bASV35394,0.174841452,0.001,0.054091153,Low
bASV35145,0.169997574,0.003,0.130730022,Low
bASV35039,0.151039635,0.008,0.288228571,Low
bASV34943,0.193328368,0.001,0.054091153,Low
bASV34688,0.134839972,0.011,0.378085179,Low
bASV34531,0.191532799,0.001,0.054091153,Low
bASV34515,0.112800566,0.023,0.67547016,Low
bASV34380,0.161151674,0.003,0.130730022,Low
bASV34216,0.223606798,0.001,0.054091153,Low
bASV3421,0.189976423,0.003,0.130730022,Low
bASV34202,0.135388105,0.006,0.225011152,Low
bASV34171,0.362452022,0.001,0.054091153,Low
bASV33835,0.174619074,0.005,0.193627639,Low
bASV33725,0.09907273,0.02,0.618895706,Low
bASV33634,0.325143709,0.001,0.054091153,Low
bASV33547,0.139757592,0.001,0.054091153,Low
bASV33522,0.133881737,0.019,0.591580247,Low
bASV332,0.177170553,0.001,0.054091153,Low
bASV330,0.371193043,0.001,0.054091153,Low
bASV32840,0.217973629,0.001,0.054091153,Low
bASV32573,0.159573126,0.003,0.130730022,Low
bASV32491,0.179390583,0.005,0.193627639,Low
bASV32420,0.381311469,0.001,0.054091153,Low
bASV32264,0.213960088,0.001,0.054091153,Low
bASV32011,0.116247639,0.047,0.860356685,Low
bASV31988,0.095457488,0.011,0.378085179,Low
bASV31888,0.219142019,0.001,0.054091153,Low
bASV31844,0.137261228,0.007,0.256319419,Low
bASV31830,0.13048844,0.025,0.721602289,Low
bASV31808,0.229104187,0.001,0.054091153,Low
bASV31752,0.13242744,0.018,0.56745,Low
bASV3165,0.171490667,0.001,0.054091153,Low
bASV31646,0.296803369,0.001,0.054091153,Low
bASV31363,0.116247639,0.05,0.860356685,Low
bASV31294,0.222541431,0.001,0.054091153,Low
bASV31211,0.170938716,0.001,0.054091153,Low
bASV31145,0.115054149,0.018,0.56745,Low
bASV3110,0.170358023,0.001,0.054091153,Low
bASV30786,0.137901795,0.001,0.054091153,Low
bASV3067,0.163239941,0.001,0.054091153,Low
bASV30649,0.23109531,0.001,0.054091153,Low
