ASV,stat,p-value,OA,Division,Genus,Species,Abundance
ASV23461,0.422070951,0.018126543,Low,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,1.198753704
ASV14168,0.407232117,0.018126543,Low,Others,Cryptomonadales_XX,Cryptomonadales_XX_sp.,0.3285536
ASV15036,0.399000221,0.018126543,Low,Chlorophyta,Ostreococcus,Unknown Ostreococcus (Genus),5.090033874
ASV4573,0.394821483,0.018126543,Low,Alveolata,Euduboscquella,Euduboscquella_sp.,0.764927115
ASV22086,0.393939176,0.018126543,Low,Haptophyta,Emiliania,Emiliania_huxleyi,0.244929493
ASV22569,0.371508627,0.018126543,Low,Stramenopiles,MOCH-4_XXX,MOCH-4_XXX_sp.,0.195264413
ASV15532,0.354806705,0.018126543,Low,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.113762745
ASV23571,0.313682867,0.018126543,Low,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,1.806620313
ASV8166,0.305117947,0.018126543,Low,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.117158648
ASV20918,0.301967465,0.018126543,Low,Alveolata,Gyrodiniellum,Gyrodiniellum_shiwhaense,0.143476895
ASV4009,0.301683455,0.018126543,Low,Stramenopiles,Unknown Bacillariophyceae (Class),Unknown Bacillariophyceae (Class),0.097207719
ASV19033,0.288438028,0.018126543,Low,Haptophyta,Chrysochromulina,Chrysochromulina_sp.,0.307753695
ASV23822,0.286508618,0.018126543,Low,Rhizaria,Protaspa,Protaspa_sp.,0.118007624
ASV18485,0.284615616,0.018126543,Low,Stramenopiles,Pseudo-nitzschia,Unknown Pseudo-nitzschia (Genus),0.15239114
ASV10782,0.284593483,0.018126543,Low,Stramenopiles,MAST-1B,MAST-1B_sp.,0.109093379
ASV2858,0.282490417,0.018126543,Low,Chlorophyta,Bathycoccus,Bathycoccus_prasinos,0.638005247
ASV7102,0.280057376,0.018126543,Low,Alveolata,Chattonaria,Chattonaria_mesnili,0.586217728
ASV18929,0.279949979,0.018126543,Low,Stramenopiles,Paraphysomonas,Paraphysomonas_sp.,0.053060982
ASV1231,0.276563538,0.018126543,Low,Others,Unknown Cryptomonadales:nucl (Order),Unknown Cryptomonadales:nucl (Order),0.092113865
