ASV,stat,p-value,OA
ASV9968,0.341,0.001,High
ASV9783,0.234,0.001,High
ASV9484,0.291,0.001,High
ASV9324,0.431,0.001,High
ASV9249,0.44,0.001,High
ASV9224,0.268,0.001,High
ASV9222,0.277,0.001,High
ASV9153,0.297,0.001,High
ASV9139,0.224,0.001,High
ASV913,0.314,0.001,High
ASV9126,0.304,0.001,High
ASV8886,0.255,0.001,High
ASV8847,0.446,0.001,High
ASV8605,0.265,0.001,High
ASV8426,0.233,0.001,High
ASV8236,0.337,0.001,High
ASV8164,0.257,0.001,High
ASV816,0.254,0.001,High
ASV8061,0.223,0.001,High
ASV7920,0.478,0.001,High
ASV7912,0.277,0.001,High
ASV7884,0.225,0.001,High
ASV7851,0.266,0.001,High
ASV7846,0.257,0.001,High
ASV784,0.24,0.001,High
ASV7727,0.219,0.001,High
ASV7687,0.278,0.001,High
ASV7629,0.364,0.001,High
ASV7441,0.246,0.001,High
ASV7294,0.245,0.001,High
ASV6624,0.306,0.001,High
ASV6457,0.332,0.001,High
ASV6318,0.301,0.001,High
ASV6240,0.185,0.001,High
ASV623,0.356,0.001,High
ASV6134,0.479,0.001,High
ASV6117,0.225,0.001,High
ASV605,0.535,0.001,High
ASV5804,0.429,0.001,High
ASV5771,0.258,0.001,High
ASV5418,0.31,0.001,High
ASV541,0.293,0.001,High
ASV5234,0.28,0.001,High
ASV512,0.336,0.001,High
ASV5025,0.179,0.001,High
ASV50,0.293,0.001,High
ASV4830,0.218,0.001,High
ASV4804,0.229,0.001,High
ASV4707,0.527,0.001,High
ASV4670,0.525,0.001,High
ASV4664,0.233,0.001,High
ASV4202,0.3,0.001,High
ASV420,0.41,0.001,High
ASV4148,0.239,0.001,High
ASV4060,0.24,0.001,High
ASV4030,0.367,0.001,High
ASV3860,0.284,0.001,High
ASV3779,0.232,0.001,High
ASV366,0.319,0.001,High
ASV3423,0.41,0.001,High
ASV3406,0.25,0.001,High
ASV3276,0.271,0.001,High
ASV3123,0.322,0.001,High
ASV2986,0.491,0.001,High
ASV2984,0.385,0.001,High
ASV2605,0.291,0.001,High
ASV2501,0.358,0.001,High
ASV2467,0.256,0.001,High
ASV23948,0.428,0.001,High
ASV23659,0.272,0.001,High
ASV23566,0.227,0.001,High
ASV23527,0.341,0.001,High
ASV2351,0.311,0.001,High
ASV23509,0.505,0.001,High
ASV23507,0.444,0.001,High
ASV23488,0.233,0.001,High
ASV23445,0.393,0.001,High
ASV23241,0.365,0.001,High
ASV23033,0.328,0.001,High
ASV2295,0.252,0.001,High
ASV22945,0.235,0.001,High
ASV22938,0.445,0.001,High
ASV22789,0.21,0.001,High
ASV22724,0.208,0.001,High
ASV22434,0.376,0.001,High
ASV22292,0.46,0.001,High
ASV21777,0.363,0.001,High
ASV21726,0.236,0.001,High
ASV21676,0.554,0.001,High
ASV21655,0.211,0.001,High
ASV21648,0.252,0.001,High
ASV21571,0.452,0.001,High
ASV21332,0.336,0.001,High
ASV21176,0.277,0.001,High
ASV21050,0.293,0.001,High
ASV210,0.231,0.001,High
ASV20768,0.257,0.001,High
ASV20735,0.263,0.001,High
ASV20542,0.571,0.001,High
ASV20360,0.244,0.001,High
ASV20147,0.313,0.001,High
ASV19998,0.256,0.001,High
ASV19995,0.567,0.001,High
ASV19877,0.284,0.001,High
ASV19823,0.335,0.001,High
ASV19566,0.288,0.001,High
ASV19547,0.413,0.001,High
ASV19332,0.224,0.001,High
ASV19330,0.418,0.001,High
ASV19274,0.246,0.001,High
ASV19148,0.404,0.001,High
ASV19100,0.258,0.001,High
ASV18984,0.287,0.001,High
ASV18963,0.212,0.001,High
ASV18853,0.264,0.001,High
ASV18661,0.258,0.001,High
ASV18633,0.341,0.001,High
ASV18631,0.242,0.001,High
ASV18522,0.243,0.001,High
ASV18507,0.449,0.001,High
ASV18286,0.351,0.001,High
ASV18275,0.394,0.001,High
ASV18092,0.345,0.001,High
ASV18010,0.294,0.001,High
ASV17584,0.291,0.001,High
ASV17338,0.23,0.001,High
ASV17253,0.244,0.001,High
ASV17017,0.408,0.001,High
ASV16846,0.333,0.001,High
ASV16731,0.269,0.001,High
ASV16512,0.441,0.001,High
ASV16349,0.257,0.001,High
ASV16322,0.424,0.001,High
ASV16264,0.313,0.001,High
ASV16099,0.407,0.001,High
ASV16086,0.303,0.001,High
ASV15913,0.388,0.001,High
ASV15714,0.24,0.001,High
ASV15576,0.213,0.001,High
ASV15516,0.237,0.001,High
ASV15248,0.352,0.001,High
ASV15198,0.353,0.001,High
ASV15156,0.239,0.001,High
ASV14975,0.371,0.001,High
ASV14847,0.352,0.001,High
ASV14728,0.252,0.001,High
ASV14690,0.207,0.001,High
ASV14635,0.342,0.001,High
ASV14576,0.577,0.001,High
ASV14431,0.647,0.001,High
ASV14426,0.208,0.001,High
ASV14419,0.273,0.001,High
ASV14389,0.355,0.001,High
ASV14244,0.205,0.001,High
ASV14061,0.251,0.001,High
ASV14010,0.372,0.001,High
ASV14001,0.313,0.001,High
ASV13740,0.294,0.001,High
ASV13662,0.314,0.001,High
ASV13574,0.373,0.001,High
ASV1341,0.244,0.001,High
ASV13378,0.435,0.001,High
ASV13209,0.377,0.001,High
ASV13104,0.301,0.001,High
ASV13054,0.455,0.001,High
ASV13033,0.26,0.001,High
ASV13030,0.232,0.001,High
ASV12776,0.295,0.001,High
ASV12726,0.367,0.001,High
ASV12615,0.238,0.001,High
ASV1243,0.345,0.001,High
ASV12424,0.245,0.001,High
ASV1232,0.465,0.001,High
ASV12249,0.282,0.001,High
ASV12226,0.293,0.001,High
ASV11877,0.312,0.001,High
ASV11795,0.246,0.001,High
ASV11746,0.294,0.001,High
ASV1165,0.392,0.001,High
ASV11095,0.394,0.001,High
ASV10969,0.307,0.001,High
