ASV,stat,p-value,OA,Division,Genus,Species,Abundance
ASV9968,0.325,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.307231446
ASV9783,0.229,0.001,High,Stramenopiles,MAST-3E,MAST-3E_sp.,0.014247356
ASV9484,0.284,0.001,High,Discoba,Eupelagonemidae_X,Eupelagonemidae_X_sp.,0.152702431
ASV9324,0.452,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.393263558
ASV9249,0.449,0.001,High,Stramenopiles,Chrysophyceae_Clade-EC2H_XX,Chrysophyceae_Clade-EC2H_XX_sp.,0.312163224
ASV9224,0.252,0.001,High,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,0.107951121
ASV9222,0.268,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.109412388
ASV9153,0.294,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.138637734
ASV9139,0.22,0.001,High,Alveolata,Dino-Group-II-Clade-5_X,Dino-Group-II-Clade-5_X_sp.,0.039271558
ASV913,0.406,0.001,High,Others,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,0.708349316
ASV9126,0.298,0.001,High,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.033974464
ASV9089,0.183,0.001,High,Rhizaria,RAD-B_X_Group-IVe_X,RAD-B_X_Group-IVe_X_sp.,0.048404479
ASV9054,0.247,0.001,High,Haptophyta,Phaeocystis,Phaeocystis_cordata,0.243848978
ASV8886,0.281,0.001,High,Rhizaria,Minorisa,Minorisa_minuta,0.092425156
ASV8847,0.512,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.461577803
ASV8605,0.249,0.001,High,Stramenopiles,MOCH-5_XXX,MOCH-5_XXX_sp.,0.123477086
ASV8236,0.322,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.10575922
ASV8164,0.252,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.072150072
ASV816,0.274,0.001,High,Stramenopiles,MOCH-5_XXX,MOCH-5_XXX_sp.,0.135897857
ASV8061,0.215,0.001,High,Alveolata,Syndiniales_XXX,Syndiniales_XXX_sp.,0.055710815
