ASV,stat,p-value,adjust pvalue,OA
ASV9956,0.162440696,0.005,0.060297741,Low
ASV9955,0.173020943,0.003,0.041652482,Low
ASV9684,0.264129103,0.001,0.018126543,Low
ASV963,0.228301752,0.001,0.018126543,Low
ASV9619,0.109907409,0.019,0.18026979,Low
ASV9612,0.143378155,0.022,0.201255452,Low
ASV9410,0.181519684,0.001,0.018126543,Low
ASV9341,0.137412427,0.027,0.227179083,Low
ASV9340,0.139822893,0.04,0.296616162,Low
ASV9307,0.156841927,0.001,0.018126543,Low
ASV9299,0.232915259,0.001,0.018126543,Low
ASV9252,0.246849384,0.001,0.018126543,Low
ASV9243,0.172533832,0.002,0.031074074,Low
ASV9197,0.135803619,0.035,0.267998696,Low
ASV9149,0.148253379,0.044,0.320213135,Low
ASV9127,0.141648877,0.023,0.201911809,Low
ASV9096,0.20559361,0.001,0.018126543,Low
ASV9085,0.258836628,0.001,0.018126543,Low
ASV908,0.257651591,0.001,0.018126543,Low
ASV9063,0.155412254,0.003,0.041652482,Low
ASV8978,0.14308364,0.001,0.018126543,Low
ASV8950,0.123501504,0.026,0.220981187,Low
ASV8933,0.184092448,0.004,0.051517544,Low
ASV8843,0.215227658,0.002,0.031074074,Low
ASV8752,0.230983066,0.001,0.018126543,Low
ASV8569,0.223758927,0.002,0.031074074,Low
ASV850,0.134890793,0.037,0.280027062,Low
ASV8456,0.223816109,0.001,0.018126543,Low
ASV8431,0.155043418,0.002,0.031074074,Low
ASV8321,0.161249727,0.011,0.115983842,Low
ASV8229,0.193703048,0.001,0.018126543,Low
ASV8191,0.113556121,0.034,0.263085639,Low
ASV8166,0.305117947,0.001,0.018126543,Low
ASV8142,0.127137326,0.033,0.25738247,Low
ASV8139,0.143212987,0.007,0.079059615,Low
ASV8131,0.252974854,0.001,0.018126543,Low
ASV8022,0.12925341,0.026,0.220981187,Low
ASV800,0.14568578,0.023,0.201911809,Low
ASV7913,0.215603555,0.001,0.018126543,Low
ASV7895,0.143038196,0.03,0.241025992,Low
ASV7828,0.135226347,0.023,0.201911809,Low
ASV7804,0.201998425,0.001,0.018126543,Low
ASV7795,0.136406856,0.023,0.201911809,Low
ASV7719,0.226922097,0.001,0.018126543,Low
ASV7685,0.143964483,0.023,0.201911809,Low
ASV7600,0.144491063,0.003,0.041652482,Low
ASV7591,0.198241077,0.003,0.041652482,Low
ASV7589,0.170984064,0.012,0.124515901,Low
ASV7582,0.136569993,0.023,0.201911809,Low
ASV7569,0.156381767,0.001,0.018126543,Low
ASV7521,0.145540401,0.03,0.241025992,Low
ASV7486,0.166808304,0.003,0.041652482,Low
ASV7404,0.140580168,0.008,0.088816635,Low
ASV7372,0.211954729,0.002,0.031074074,Low
ASV7307,0.157028405,0.004,0.051517544,Low
ASV730,0.274797866,0.001,0.018126543,Low
ASV7253,0.140890684,0.024,0.208817778,Low
ASV7230,0.144244306,0.023,0.201911809,Low
ASV7210,0.134114016,0.015,0.150076661,Low
ASV7147,0.134218873,0.033,0.25738247,Low
ASV7102,0.280057376,0.001,0.018126543,Low
ASV7097,0.195837738,0.001,0.018126543,Low
ASV7083,0.144949526,0.003,0.041652482,Low
ASV7029,0.195637925,0.001,0.018126543,Low
ASV7001,0.149027658,0.004,0.051517544,Low
ASV6961,0.192833075,0.002,0.031074074,Low
ASV6780,0.159783992,0.022,0.201255452,Low
ASV6745,0.137865812,0.031,0.245699055,Low
ASV6644,0.122076519,0.027,0.227179083,Low
ASV6609,0.161568055,0.001,0.018126543,Low
ASV6597,0.175493744,0.002,0.031074074,Low
ASV6585,0.127009948,0.033,0.25738247,Low
ASV6507,0.136569993,0.026,0.220981187,Low
ASV6503,0.141099931,0.024,0.208817778,Low
ASV6296,0.2151085,0.001,0.018126543,Low
ASV6247,0.145693705,0.006,0.069916667,Low
ASV624,0.11199337,0.044,0.320213135,Low
ASV6157,0.259954699,0.001,0.018126543,Low
ASV6144,0.125096438,0.029,0.238205594,Low
