STATION_ID,eDNA,DATE_LOCAL,LATITUDE_DEC_N,LONGITUDE_DEC_E,DEPTH_METER,temp,salinity,oxygen,silicate,nitrate,nh4,dic,pH,pH_corrected,phosphate
1,Y,9/14/21,26.997,-79.618,6,29.575,36.237,194.9,1.061241949,0.012680281,0.301400517,2028.084832,8.096646863,8.03,0.038040842
2,N,9/14/21,27.004,-79.678,4,29.621,36.198,196.7,1.059448105,0.087799567,0.642887939,2027.421678,8.095756985,8.027,0.008779957
3,N,9/14/21,26.988,-79.778,3,29.567,35.379,196.4,1.177064001,0,0.366002488,2023.746293,8.096125771,8.036,0.0146401
4,Y,9/14/21,26.994,-79.859,2,29.394,35.097,196.4,1.333773069,0.075183401,0.424737398,2021.31265,8.09838721,8.045,0.005858447
5,N,9/14/21,26.991,-79.933,3,29.624,35.351,195.4,1.046559041,0.023430426,0.556472624,2028.632118,8.097424315,8.028,0.002928803
6,Y,9/14/21,26.991,-79.987,4,29.801,35.457,194.5,0.933126542,0.055636206,0.461682902,2034.30422,8.090111016,NA,0.035138656
7,N,9/15/21,26.995,-80.003,3,29.815,35.44,193.8,0.97901457,0.076134732,0.56613006,2034.579448,8.089851688,8.033,0.025378244
8,N,9/15/21,25.497,-80.024,4,29.426,33.933,197.3,2.055891053,0.011725614,0.465116037,2001.894659,8.103485183,8.047,0.068399417
9,N,9/17/21,26,-86,3,28.964,35.942,195.4,1.422632673,0.12879802,0.42835099,2028.334828,8.090415171,8.035,0.022442079
10,Y,9/17/21,26.221,-85.665,4,29.944,35.648,195.5,1.73601709,0.210781164,0.671377042,2026.805959,8.132388214,8.057,0.032202678
11,N,9/18/21,26.444,-85.333,3,28.957,35.365,197.2,0.651028769,0,0.413847373,2020.459464,8.096249109,8.042,0.031233764
12,N,9/18/21,26.666,-85.003,3,30.024,35.187,192.8,1.195008143,0.017573649,0.4090755,2031.98938,8.10465018,8.03,0.030265729
14,N,9/18/21,27.112,-84.334,3,29.015,34.992,189.9,1.196189216,0,0.493122901,2016.844037,8.08956441,8.032,0.027341468
15,N,9/18/21,27.332,-84.004,3,29.147,35.634,197.6,1.11647925,0.108329717,0.250817454,2033.508877,8.08620989,8.03,0.024398585
16,N,9/19/21,27.555,-83.666,3,29.116,35.549,195.8,1.138999093,0.046848292,0.18153713,2030.51251,8.082183419,8.028,0.029280182
17,N,9/19/21,27.778,-83.332,2,29.352,36.076,192.7,4.344453387,0.055610564,0.241954736,2046.204402,8.074590069,8.016,0.036098086
18,Y,9/19/21,28.014,-83.016,2,29.682,34.383,214.2,15.83320468,0.056658803,0.283294013,1967.186561,8.120933002,NA,0.164115152
19,Y,9/20/21,29.5,-85.378,3,28.272,32.463,187.3,2.65140817,0.289600302,1.162314725,1990.127074,8.009749518,7.979,0.034243279
20,N,9/20/21,29.378,-85.509,2,28.097,33.165,195,1.606506018,0,0.56027264,1956.844008,8.075718953,8.035,0.033244799
21,Y,9/20/21,29.206,-85.647,2,28.245,33.11,193.5,1.37583046,0.007822774,0.938732937,1957.674222,8.08380284,8.049,0.02444617
22,N,9/20/21,29.038,-85.783,3,28.345,33.428,192.5,1.008801082,0.010752725,0.41055858,1973.058583,8.085581211,8.044,0.017595368
23,Y,9/20/21,28.866,-85.922,3,28.466,34.673,190.2,1.251039285,0.077152306,0.458030777,2009.344808,8.074682872,8.036,0.02636851
24,N,9/21/21,28.689,-86.064,3,28.34,34.757,197.9,1.193341689,0.06445217,0.193356509,2005.386832,8.091826267,NA,0.015624768
25,N,9/21/21,28.516,-86.204,2,28.11,34.243,199.4,1.093275431,0.013678156,0.250114844,1997.982999,8.08718514,NA,0.023448267
26,N,9/21/21,28.344,-86.341,3,27.81,32.614,199.6,1.124669295,0,0.331532949,1981.369309,8.112200352,8.075,0.088017597
27,N,9/21/21,28.172,-86.481,3,28.21,33.014,222.8,1.29828276,0,0.302085371,1988.637006,8.106000078,8.07,0.093851766
28,Y,9/21/21,28,-86.62,2,28.703,33.357,199.2,1.17510283,0.428198868,0.401803048,1980.081252,8.108865396,8.067,0.078209839
29,N,9/21/21,27.5,-86.81,2,28.351,33.352,197.6,1.205594978,0,0.299198754,1981.172194,8.10815773,8.069,0.084088539
30,N,9/22/21,27.011,-87,2,28.84,35.624,195.2,1.482871511,0.089752749,0.33657281,2017.713558,8.102268442,8.058,0.039022935
31,Y,9/23/21,30.111,-86.8,3,27.819,32.095,197.9,2.439419574,0.051840111,0.404939737,1921.174976,8.082443834,8.047,0.044993304
