Latitude,Longitude,Distance,Station
26.997,-79.618,offshore,27N
26.997,-79.618,offshore,27N
26.997,-79.618,offshore,27N
26.997,-79.618,offshore,27N
26.997,-79.618,offshore,27N
26.997,-79.618,offshore,27N
26.997,-79.618,offshore,27N
26.997,-79.618,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.994,-79.859,offshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.991,-79.987,inshore,27N
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.061,-96.807,inshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.059,-96.082,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
26.058,-94.197,offshore,BROWNSVILLE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
22,-92.917,offshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.733,-92.318,inshore,CAMPECHE
21.167,-90.768,inshore,CAMPECHE
21.167,-90.768,inshore,CAMPECHE
21.167,-90.768,inshore,CAMPECHE
21.167,-90.768,inshore,CAMPECHE
21.167,-90.768,inshore,CAMPECHE
21.167,-90.768,inshore,CAMPECHE
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.591,-86.503,inshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
21.633,-86.242,offshore,CANCUN
26.729,-83.101,inshore,CAPECORAL
26.729,-83.101,inshore,CAPECORAL
26.729,-83.101,inshore,CAPECORAL
26.729,-83.101,inshore,CAPECORAL
26.729,-83.101,inshore,CAPECORAL
