sample_name,cluster_16S,cluster_18S,replicate,serial_number,project_id,project_title,project_description,project_proposal,notes,collection_date_only,collection_time_local_only,station,region,distance,degrees_latitude,degrees_longitude,Chla_wsw,Chla_<20,Chla_>20,depth_meters,depth_category,ctd_bottle_no,volume_filtered_ml,sample_collection_device,sample_collection_method,sample_material_procesing,size_fraction,env_material,sample_type,temp,salinity,pressure,temp_station,temp_depth,ctdoxy,oxygen,phosphate,silicate,nitrate,nitrite,nitrate_nitrite,nh4,dic,total_alkalinity,pCO2_uncorrected,pH_uncorrected,carbonate,OMEGA_AR,pH_corrected,pCO2_corrected,dna_sample_number,dna_conc,dna_yield,dna_yield_filtered,plate,plate_name,well_number,well_position,station_depth,ship_crs_expocode,woce_sect,date,utc_time,lat_lon,submitted_to_insdc,investigation_type,samp_mat_process,target_gene,additional_notes,notes_on_bottle_metadata,seascape_class,seascape_probability,seascape_window,transmittance,fluorescence,Hydrogen_ion,alk_dic_ratio,alk_dic_oa
GOMECC4_LA_Sta40_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_138,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/25/21,19:28-04:00,Sta40,LA,offshore,27.91,90.001,NA,NA,NA,670,Deep,2,1960,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,6.732,34.912,676,6.732_40,6.732_670,136.6,133.91,1.96131,23.1355,29.2576,0.00976,29.2674,0.30167,2216.58,2317.06,1044.85,7.60523,88.051,1.128,7.85,616,138,0.2646,39.69,20.25,Plate2,GOMECC2021_Plate2,5,E1,40_670,WBTSRHB,RB2103,9/25/21,23:46+00:00,27.91_90.001,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,15,0.549262524,monthly,4.6697,0.0319,1.41E-08,1.045331096,Low
GOMECC4_LA_Sta40_Deep_B,Cluster 3,Cluster 3,B,GOMECC4_139,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/25/21,19:28-04:00,Sta40,LA,offshore,27.91,90.001,NA,NA,NA,670,Deep,2,1940,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,6.732,34.912,676,6.732_40,6.732_670,136.6,133.91,1.96131,23.1355,29.2576,0.00976,29.2674,0.30167,2216.58,2317.06,1044.85,7.60523,88.051,1.128,7.85,616,139,0.8956,134.34,69.24742268,Plate1,GOMECC2021_Plate1,89,A12,40_670,WBTSRHB,RB2103,9/25/21,23:46+00:00,27.91_90.001,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,15,0.549262524,monthly,4.6697,0.0319,1.41E-08,1.045331096,Low
GOMECC4_LA_Sta40_Deep_C,Cluster 3,Cluster 3,C,GOMECC4_140,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,PM cast,9/25/21,19:28-04:00,Sta40,LA,offshore,27.91,90.001,NA,NA,NA,670,Deep,2,1960,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,6.732,34.912,676,6.732_40,6.732_670,136.6,133.91,1.96131,23.1355,29.2576,0.00976,29.2674,0.30167,2216.58,2317.06,1044.85,7.60523,88.051,1.128,7.85,616,140,0.5401,81.015,41.33418367,Plate2,GOMECC2021_Plate2,8,H1,40_670,WBTSRHB,RB2103,9/25/21,23:46+00:00,27.91_90.001,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,Bottle 2.,15,0.549262524,monthly,4.6697,0.0319,1.41E-08,1.045331096,Low
GOMECC4_27N_Sta1_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_001,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/14/21,11:00-04:00,Sta1,27N,offshore,26.997,79.618,NA,NA,NA,618,Deep,3,1920,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,7.479,34.946,623,7.479_1,7.479_618,128.9,129.44,1.94489,20.3569,29.3256,0.00391,29.3295,0.25971,2215.45,2318.9,1046.14,7.60331,88.434,1.168,7.849,624,1,0.08038,12.057,6.2796875,Plate4,GOMECC2021_Plate4,52,D7,1_618,WBTSRHB,RB2103,9/14/21,15:33+00:00,26.997_79.618,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",DCM = deep chlorophyl max.,,13,0.507214308,8-day,4.7221,0.0308,1.42E-08,1.046694802,Low
GOMECC4_27N_Sta1_Deep_B,Cluster 3,Cluster 3,B,GOMECC4_002,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/14/21,11:00-04:00,Sta1,27N,offshore,26.997,79.618,NA,NA,NA,618,Deep,3,1940,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,7.479,34.946,623,7.479_1,7.479_618,128.9,129.44,1.94489,20.3569,29.3256,0.00391,29.3295,0.25971,2215.45,2318.9,1046.14,7.60331,88.434,1.168,7.849,624,2,0.1141,17.115,8.822164948,Plate4,GOMECC2021_Plate4,60,D8,1_618,WBTSRHB,RB2103,9/14/21,15:33+00:00,26.997_79.618,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",DCM was around 80 m and not well defined.,,13,0.507214308,8-day,4.7221,0.0308,1.42E-08,1.046694802,Low
GOMECC4_27N_Sta1_Deep_C,Cluster 3,Cluster 3,C,GOMECC4_003,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,PM cast,9/14/21,11:00-04:00,Sta1,27N,offshore,26.997,79.618,NA,NA,NA,618,Deep,3,2000,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,7.479,34.946,623,7.479_1,7.479_618,128.9,129.44,1.94489,20.3569,29.3256,0.00391,29.3295,0.25971,2215.45,2318.9,1046.14,7.60331,88.434,1.168,7.849,624,3,0.07223,10.8345,5.41725,Plate4,GOMECC2021_Plate4,62,F8,1_618,WBTSRHB,RB2103,9/14/21,15:33+00:00,26.997_79.618,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",Surface CTD bottles did not fire correctly; hand iskin bottle used for the surface cast.,,13,0.507214308,8-day,4.7221,0.0308,1.42E-08,1.046694802,Low
GOMECC4_CATOCHE_Sta109_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_375,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,,10/14/21,21:45-04:00,Sta109,CATOCHE,offshore,22.734,86.49,0.001,0.002,0,652,Deep,3,2040,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,7.785,34.951,657,7.785_109,7.785_652,124.4,124.846,1.8423,19.6844,29.0277,0.0205,29.0482,0.20795,2213.07,2317.14,1036.72,7.60476,89.6601,1.167,7.845,628,375,0.03923,5.8845,2.884558824,Plate5,GOMECC2021_Plate5,63,G8,109_652,WBTSRHB,RB2103,10/15/21,2:03+00:00,22.734_86.49,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",DCM = 75 m.,,5,0.491835803,8-day,4.6264,0.0331,1.43E-08,1.047025173,Low
GOMECC4_CATOCHE_Sta109_Deep_B,Cluster 3,Cluster 3,B,GOMECC4_376,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,,10/14/21,21:45-04:00,Sta109,CATOCHE,offshore,22.734,86.49,0.001,0.002,0,652,Deep,3,2060,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,7.785,34.951,657,7.785_109,7.785_652,124.4,124.846,1.8423,19.6844,29.0277,0.0205,29.0482,0.20795,2213.07,2317.14,1036.72,7.60476,89.6601,1.167,7.845,628,376,0.0429,6.435,3.123786408,Plate5,GOMECC2021_Plate5,62,F8,109_652,WBTSRHB,RB2103,10/15/21,2:03+00:00,22.734_86.49,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,Bottle 8.,5,0.491835803,8-day,4.6264,0.0331,1.43E-08,1.047025173,Low
GOMECC4_CATOCHE_Sta109_Deep_C,Cluster 3,Cluster 3,C,GOMECC4_377,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,,10/14/21,21:45-04:00,Sta109,CATOCHE,offshore,22.734,86.49,0.001,0.002,0,652,Deep,3,2020,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,7.785,34.951,657,7.785_109,7.785_652,124.4,124.846,1.8423,19.6844,29.0277,0.0205,29.0482,0.20795,2213.07,2317.14,1036.72,7.60476,89.6601,1.167,7.845,628,377,0.3612,54.18,26.82178218,Plate5,GOMECC2021_Plate5,64,H8,109_652,WBTSRHB,RB2103,10/15/21,2:03+00:00,22.734_86.49,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,5,0.491835803,8-day,4.6264,0.0331,1.43E-08,1.047025173,Low
GOMECC4_GALVESTON_Sta54_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_174,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,Fired,9/28/21,08:36-04:00,Sta54,GALVESTON,offshore,27.5,95.004,NA,NA,NA,869,Deep,1,1940,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.907,34.912,877,5.907_54,5.907_869,150.7,151.55,1.86641,24.7631,28.2157,0.00488,28.2206,0.20109,2217.63,2322.33,1009.29,7.62078,91.7423,1.108,7.866,577,174,0.1209,18.135,9.347938144,Plate1,GOMECC2021_Plate1,11,C2,54_869,WBTSRHB,RB2103,9/28/21,12:56+00:00,27.5_95.004,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,15,0.510830045,monthly,4.6248,0.0317,1.36E-08,1.047212565,Low
