Type,Cluster,Group,Count
Shelf_Surface,Cluster 1,18S,70
Shelf_DCM,Cluster 1,18S,42
Shelf_Bottom,Cluster 1,18S,42
Open_Surface,Cluster 1,18S,85
Open_DCM,Cluster 1,18S,1
Open_Bottom,Cluster 1,18S,2
Shelf_Surface,Cluster 2,18S,1
Shelf_DCM,Cluster 2,18S,25
Shelf_Bottom,Cluster 2,18S,27
Open_Surface,Cluster 2,18S,0
Open_DCM,Cluster 2,18S,85
Open_Bottom,Cluster 2,18S,0
Shelf_Surface,Cluster 3,18S,1
Shelf_DCM,Cluster 3,18S,0
Shelf_Bottom,Cluster 3,18S,3
Open_Surface,Cluster 3,18S,0
Open_DCM,Cluster 3,18S,0
Open_Bottom,Cluster 3,18S,85
Shelf_Surface,Cluster 1,16S,70
Shelf_DCM,Cluster 1,16S,54
Shelf_Bottom,Cluster 1,16S,45
Open_Surface,Cluster 1,16S,85
Open_DCM,Cluster 1,16S,19
Open_Bottom,Cluster 1,16S,1
Shelf_Surface,Cluster 2,16S,1
Shelf_DCM,Cluster 2,16S,13
Shelf_Bottom,Cluster 2,16S,24
Open_Surface,Cluster 2,16S,0
Open_DCM,Cluster 2,16S,67
Open_Bottom,Cluster 2,16S,0
Shelf_Surface,Cluster 3,16S,1
Shelf_DCM,Cluster 3,16S,0
Shelf_Bottom,Cluster 3,16S,3
Open_Surface,Cluster 3,16S,0
Open_DCM,Cluster 3,16S,0
Open_Bottom,Cluster 3,16S,86
