Latitude	Longitude	Depth	Sagenista	Dinophyceae	Prymnesiophyceae	Syndiniales
deg	deg	m	abund	abund	abund	abund
26.997	-79.618	1	3.518256346	37.80432223	4.634115534	31.10565576
27.004	-79.678	1	3.632447694	38.12670723	4.97174411	33.66469481
26.988	-79.778	1	3.706639247	35.58811612	4.237457414	27.95401616
26.994	-79.859	1	3.850803502	35.11326303	4.044532788	27.47711094
26.991	-79.933	1	3.75052846	34.51322713	4.368859042	28.50874064
26.991	-79.987	1	NA	33.71595646	4.196856681	NA
26.995	-80.003	1	3.770670411	33.45823771	4.292885381	29.79272722
25.497	-80.024	1	3.373667907	33.8796768	2.85843575	25.43145927
26	-86	1	3.511932799	37.4845426	4.264277134	29.50766091
26.221	-85.665	1	4.015077448	35.49700436	4.439945789	34.94346328
26.444	-85.333	1	3.458838657	36.90438977	3.780644248	27.94168558
26.666	-85.003	1	3.796869421	32.52505306	4.163536857	27.74611061
27.112	-84.334	1	3.690572679	34.37535355	3.606694026	26.60941246
27.332	-84.004	1	3.390401458	35.8561506	4.114318399	26.31550808
27.555	-83.666	1	3.397146847	35.61156318	3.992718356	25.48805489
27.778	-83.332	1	3.388787937	34.33447452	4.414304836	26.97317081
28.014	-83.016	1	NA	44.9931761	2.515306044	NA
29.5	-85.378	1	2.921036521	29.8017473	2.116048954	19.44264426
29.378	-85.509	1	3.228714601	38.64521687	2.341736153	22.20105404
29.206	-85.647	1	3.565894418	37.76369256	2.411675686	25.73499535
29.038	-85.783	1	3.62291665	36.31444021	2.618958671	21.90350499
28.866	-85.922	1	3.585282504	34.96920557	3.212281698	24.65882757
28.689	-86.064	1	NA	37.75902852	3.296489502	NA
28.516	-86.204	1	NA	37.53941652	2.885117694	NA
28.344	-86.341	1	3.082921874	34.36547226	1.803627796	19.94231721
28.172	-86.481	1	2.324243118	39.68237654	1.993947359	21.14806088
28	-86.62	1	3.288035455	36.12895612	2.32595249	24.02324004
27.5	-86.81	1	3.247415035	35.99572014	2.198716779	22.7652589
27.011	-87	1	3.664320013	37.98075067	3.823684263	29.66957069
30.111	-86.8	1	3.110714444	41.11215432	1.836606373	19.79754363
29.758	-87.041	1	3.161734042	37.09219245	2.333707514	21.86834231
29.463	-87.236	1	NA	NA	2.655849313	22.69611541
29.052	-87.521	1	3.160443198	36.77374885	2.494896041	22.15865403
28.701	-87.76	1	3.498956169	34.10113697	2.499664844	22.05491769
28.347	-88	1	2.902310889	32.13641434	1.12309015	16.53014376
27.001	-89.999	1	3.444182955	38.01065058	4.390518593	28.54424246
27.584	-89.999	1	3.47338325	37.68425797	4.180510439	29.25457107
27.737	-89.999	1	3.467874163	37.75955117	4.396817194	28.77255616
27.91	-90.001	1	3.223717923	37.98849257	4.08947587	28.92664151
28.074	-89.998	1	3.38716806	37.20310307	4.086515387	28.18717148
28.245	-89.986	1	3.821010085	36.79989038	4.276482914	27.72151053
28.499	-90	1	3.252834035	32.21387009	2.386358735	19.11482864
28.745	-89.992	1	2.37994396	38.81746034	0.571101873	13.79633393
28.935	-90.123	1	1.619270035	29.3401119	0.269414184	9.793423184
28.97	-90.21	1	1.661441936	31.04142565	0.296218053	10.28144032
28.877	-90.446	1	NA	32.7133603	0.407949416	NA
28.827	-90.814	1	2.276869755	36.07284151	0.641259806	13.62611155
27.92	-93.579	1	3.734689332	34.37554183	3.972149068	25.24262601
27.87	-93.831	1	3.434393766	33.91254559	3.723453715	23.78638913
