Latitude	Longitude	Depth	temp	salinity	oxygen	nitrate	nh4	dic	pH_corrected	phosphate	log_temp	log_salinity	log_phosphate	log_nh4	log_nitrate
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund
26.997	-79.618	1	29.575	36.237	194.9	0.012680281	0.301400517	2028.084832	8.03	0.038040842	3.387267476	3.590356619	-3.035703755	-1.166675359	-3.78625941
27.004	-79.678	1	29.621	36.198	196.7	0.087799567	0.642887939	2027.421678	8.027	0.008779957	3.388821111	3.589280089	-3.974965095	-0.426349774	-2.324835129
26.988	-79.778	1	29.567	35.379	196.4	0	0.366002488	2023.746293	8.036	0.0146401	3.386997032	3.566401037	-3.703380082	-0.978159519	-4.605170186
26.994	-79.859	1	29.394	35.097	196.4	0.075183401	0.424737398	2021.31265	8.045	0.005858447	3.38113072	3.558400541	-4.144052987	-0.833013113	-2.462948688
26.991	-79.933	1	29.624	35.351	195.4	0.023430426	0.556472624	2028.632118	8.028	0.002928803	3.388922351	3.565609518	-4.348297666	-0.568326524	-3.398288836
26.991	-79.987	1	29.801	35.457	194.5	0.055636206	0.461682902	2034.30422	NA	0.035138656	3.394877453	3.568602687	-3.098016282	-0.751448337	-2.723627815
26.995	-80.003	1	29.815	35.44	193.8	0.076134732	0.56613006	2034.579448	8.033	0.025378244	3.395346968	3.568123253	-3.341658224	-0.551421845	-2.451842557
25.497	-80.024	1	29.426	33.933	197.3	0.011725614	0.465116037	2001.894659	8.047	0.068399417	3.382218415	3.524682647	-2.545938788	-0.744196216	-3.829263346
26	-86	1	28.964	35.942	195.4	0.12879802	0.42835099	2028.334828	8.035	0.022442079	3.366398876	3.582184715	-3.428298964	-0.824735342	-1.974735496
26.221	-85.665	1	29.944	35.648	195.5	0.210781164	0.671377042	2026.805959	8.057	0.032202678	3.399662872	3.573973526	-3.1652716	-0.383639467	-1.510583276
26.444	-85.333	1	28.957	35.365	197.2	0	0.413847373	2020.459464	8.042	0.031233764	3.366157251	3.566005356	-3.188497844	-0.858381858	-4.605170186
26.666	-85.003	1	30.024	35.187	192.8	0.017573649	0.4090755	2031.98938	8.03	0.030265729	3.402330073	3.560960852	-3.212254569	-0.869704184	-3.590894709
27.112	-84.334	1	29.015	34.992	189.9	0	0.493122901	2016.844037	8.032	0.027341468	3.368157528	3.555405203	-3.287650827	-0.686920803	-4.605170186
27.332	-84.004	1	29.147	35.634	197.6	0.108329717	0.250817454	2033.508877	8.03	0.024398585	3.372695021	3.57358083	-3.369739849	-1.343934526	-2.134280339
27.555	-83.666	1	29.116	35.549	195.8	0.046848292	0.18153713	2030.51251	8.028	0.029280182	3.371631246	3.571193289	-3.237035162	-1.652673599	-2.867369103
27.778	-83.332	1	29.352	36.076	192.7	0.055610564	0.241954736	2046.204402	8.016	0.036098086	3.379701321	3.585904978	-3.076983848	-1.378505827	-2.724018559
28.014	-83.016	1	29.682	34.383	214.2	0.056658803	0.283294013	1967.186561	NA	0.164115152	3.390877649	3.537853055	-1.748038406	-1.226579716	-2.708168163
29.5	-85.378	1	28.272	32.463	187.3	0.289600302	1.162314725	1990.127074	7.979	0.034243279	3.34222556	3.480408975	-3.118051806	0.158980192	-1.205306019
29.378	-85.509	1	28.097	33.165	195	0	0.56027264	1956.844008	8.035	0.033244799	3.336018656	3.50179658	-3.140878307	-0.561640717	-4.605170186
29.206	-85.647	1	28.245	33.11	193.5	0.007822774	0.938732937	1957.674222	8.049	0.02444617	3.341270433	3.50013733	-3.368357463	-0.052627935	-4.027278201
29.038	-85.783	1	28.345	33.428	192.5	0.010752725	0.41055858	1973.058583	8.044	0.017595368	3.344803381	3.509692978	-3.590107346	-0.866171499	-3.875077716
28.866	-85.922	1	28.466	34.673	190.2	0.077152306	0.458030777	2009.344808	8.036	0.02636851	3.349061627	3.546249653	-3.314051989	-0.759221222	-2.440098047
28.689	-86.064	1	28.34	34.757	197.9	0.06445217	0.193356509	2005.386832	NA	0.015624768	3.34462703	3.548668661	-3.664195895	-1.592794638	-2.597598373
28.516	-86.204	1	28.11	34.243	199.4	0.013678156	0.250114844	1997.982999	NA	0.023448267	3.336481067	3.533774152	-3.397755302	-1.346632038	-3.743202344
28.344	-86.341	1	27.81	32.614	199.6	0	0.331532949	1981.369309	8.075	0.088017597	3.325755186	3.485048214	-2.322608255	-1.074311121	-4.605170186
