Latitude	Longitude	Depth	Sagenista	Dinophyceae	Prymnesiophyceae	Syndiniales	Sar11	Sar86	Flavobacteriales	Prochlorococcus	Synechococcus
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund
26.997	-79.618	1	4.611902198	7.03102858	4.840617391	6.807878742	7.538201748	5.763575072	5.11566614	5.889083589	5.379895823
27.004	-79.678	1	4.717416869	7.065430034	5.073854589	6.841485246	7.552253639	5.931176759	5.206634865	6.801314187	4.910444598
26.988	-79.778	1	4.869326542	7.103721179	4.99265309	6.827059904	7.632613392	5.88952841	5.157473718	6.131991324	5.404246703
26.994	-79.859	1	4.725756946	7.160554513	5.192554967	6.756939186	7.586414602	5.982057336	5.443356447	6.47509297	5.360616425
26.991	-79.933	1	4.989755315	6.958576225	5.27298165	6.968809588	7.638087049	6.001499156	5.307074853	6.661129459	5.176082255
26.991	-79.987	1	4.97805072	NA	NA	NA	NA	NA	5.452721675	NA	5.913265953
26.995	-80.003	1	4.915426438	6.950468969	4.999608923	6.768776613	7.639294834	5.815450764	5.461569698	5.579571144	5.77227443
25.497	-80.024	1	5.09236313	7.123574347	4.944083287	7.004926196	7.634257983	5.578811796	5.42627686	3.675205986	6.836568946
26	-86	1	4.769560288	7.175979954	4.704895187	6.887809044	7.514609063	5.819516719	5.245514401	6.721344145	5.085939009
26.221	-85.665	1	4.688753192	7.025721858	4.965809134	6.947177297	7.613659055	5.826418911	5.246981701	5.242905291	5.438485664
26.444	-85.333	1	5.020191587	7.164181435	4.666331475	6.730116842	7.61758635	5.77035692	5.073928925	5.958682143	5.522635805
26.666	-85.003	1	5.138781049	6.807050267	5.078982893	6.771657655	7.656856554	5.777910713	5.417966541	5.035482003	6.014804469
27.112	-84.334	1	5.073283576	7.065272599	4.658399539	6.684302534	7.628849381	5.742406826	5.21579421	5.940459513	5.702228179
27.332	-84.004	1	4.130435918	7.174164449	4.772743031	6.833260096	7.514272027	5.820253703	5.390046239	6.197364277	5.427490571
27.555	-83.666	1	4.324346653	7.105305793	4.697132757	6.825795783	7.501758979	5.786424499	5.422111167	5.992340089	5.616571312
27.778	-83.332	1	4.167047886	6.966455314	4.723021221	6.790769867	7.533506479	5.727497901	5.419772726	5.59758572	5.709194176
28.014	-83.016	1	4.341011886	NA	NA	NA	NA	NA	5.293733962	NA	6.454513135
